Table,Panel,Parameter,Direction,Qualifier,Unit,Basis,Operator,Level1,Level2,Level3,Level1Text,Level2Text,Level3Text,GuidePage,Note
56,General Chemistry,Sodium,low,,mEq/L,absolute,<,132,130,125,<132,<130,<125,119,
56,General Chemistry,Sodium,high,,mEq/L,absolute,>,150,155,160,>150,>155,>160,119,
56,General Chemistry,Potassium,low,,mEq/L,absolute,<,3.6,3.4,3.0,<3.6,<3.4,<3.0,119,
56,General Chemistry,Potassium,high,,mEq/L,absolute,>,5.5,6,6.5,>5.5,>6,>6.5,119,
56,General Chemistry,Chloride,low,,mEq/L,absolute,<,95,88,80,<95,<88,<80,119,
56,General Chemistry,Chloride,high,,mEq/L,absolute,>,108,112,115,>108,>112,>115,119,
56,General Chemistry,Bicarbonate,low,,mEq/L,absolute,<,20,18,15,<20,<18,<15,119,
56,General Chemistry,Bicarbonate,high,,mEq/L,absolute,>,,,30,N/A,N/A,>30,119,
56,General Chemistry,Blood urea nitrogen,high,,mg/dL,absolute,>,23,27,31,>23,>27,>31,119,
56,General Chemistry,Glucose,low,,mg/dL,absolute,<,70,54,,<70,<54,N/A,119,
56,General Chemistry,Glucose,high,Fasting,mg/dL,absolute,>=,100,126,,>=100,>=126,N/A,119,
56,General Chemistry,Glucose,high,Random,mg/dL,absolute,>=,,200,,N/A,>=200,N/A,119,
56,General Chemistry,Calcium,low,,mg/dL,absolute,<,8.4,8.0,7.5,<8.4,<8.0,<7.5,119,
56,General Chemistry,Calcium,high,,mg/dL,absolute,>,10.5,11.0,12.0,>10.5,>11.0,>12.0,119,
56,General Chemistry,Magnesium,low,,mg/dL,absolute,<,1.5,1.2,0.9,<1.5,<1.2,<0.9,119,
56,General Chemistry,Magnesium,high,,mg/dL,absolute,>,2.3,4.0,7.0,>2.3,>4.0,>7.0,119,
56,General Chemistry,Phosphate,low,,mg/dL,absolute,<,2.5,2.0,1.4,<2.5,<2.0,<1.4,119,
56,General Chemistry,Protein (total),low,,g/dL,absolute,<,6.0,5.4,5.0,<6.0,<5.4,<5.0,119,
56,General Chemistry,Albumin,low,,g/dL,absolute,<,3.1,2.5,2.0,<3.1,<2.5,<2.0,119,
56,General Chemistry,CPK,high,,U/L,uln_multiple,>,3,5,10,>3 x ULN,>5 x ULN,>10 x ULN,119,
56,General Chemistry,Amylase,high,,U/L,uln_multiple,>,1.1,1.5,3.0,>1.1 x ULN,>1.5 x ULN,>3.0 x ULN,119,
56,General Chemistry,Lipase,high,,U/L,uln_multiple,>,1.1,1.5,3.0,>1.1 x ULN,>1.5 x ULN,>3.0 x ULN,119,
56,Kidney Function,Creatinine,increase,,mg/dL,baseline_multiple,>=,1.5,2.0,3.0,>=1.5 x baseline,>=2.0 x baseline,>=3.0 x baseline,120,
56,Kidney Function,eGFR,decrease,,ml/min/1.73m2,baseline_percent_decrease,>=,25,50,75,>=25% decrease,>=50% decrease,>=75% decrease,120,
56,Liver Biochemistry,Alkaline phosphatase,high,,U/L,uln_multiple,>,1.5,2.0,3.0,>1.5 x ULN,>2.0 x ULN,>3.0 x ULN,120,Footnote 1: for evaluation of drug-induced liver injury refer to guide section 2.4.4
56,Liver Biochemistry,Alanine Aminotransferase,high,,U/L,uln_multiple,>,3.0,5.0,10.0,>3.0 x ULN,>5.0 x ULN,>10.0 x ULN,120,Footnote 1: for evaluation of drug-induced liver injury refer to guide section 2.4.4
